
Steps found by force derivation:
filename,Derivation of,step #,F1,F2,Fc,step start,step end,step length
Short_intermediate_FD_curve,Force,1,14.653527831518684,14.655228809792295,14.65437832065549,1261.9330319125154,1264.6065224761437,2.67349056362832
Short_intermediate_FD_curve,Force,2,15.119850703014563,14.566829458656898,14.84334008083573,1264.7120980830937,1275.2757944047091,10.563696321615453
Short_intermediate_FD_curve,Force,3,14.566829458656898,14.137247585647005,14.35203852215195,1275.2757944047091,1285.352840421936,10.077046017226849
Short_intermediate_FD_curve,Force,4,45.412139652159254,45.184701550910574,45.298420601534914,1436.0261437553695,1437.8339767227408,1.8078329673712688

Steps found by distance derivation:
filename,Derivation of,step #,F1,F2,Fc,step start,step end,step length
Short_intermediate_FD_curve,Distance,1,14.604139949977341,14.643655631902869,14.623897790940106,1261.6988153436046,1264.5449965113116,2.8461811677070727
Short_intermediate_FD_curve,Distance,2,15.13369920426063,14.566829458656898,14.850264331458764,1264.771881222624,1275.2757944047091,10.50391318208517
Short_intermediate_FD_curve,Distance,3,14.566829458656898,14.078573685970964,14.322701572313932,1275.2757944047091,1285.129726767142,9.853932362432943

Common steps:
filename,Derivation of,step #,F1,F2,Fc,step start,step end,step length
Short_intermediate_FD_curve,,0,,,,,,
Short_intermediate_FD_curve,Distance,1,14.604139949977341,14.643655631902869,14.623897790940106,1261.6988153436046,1264.5449965113116,2.8461811677070727
Short_intermediate_FD_curve,Distance,2,15.13369920426063,14.566829458656898,14.850264331458764,1264.771881222624,1275.2757944047091,10.50391318208517
Short_intermediate_FD_curve,Distance,3,14.566829458656898,14.078573685970964,14.322701572313932,1275.2757944047091,1285.129726767142,9.853932362432943
